IdPublisher,PublisherName
557,Guild of Master Craftsman
558,The Crowood Press
559,Crowood
560,Simon  Schuster/Paula Wiseman Books
561,Crecy Publishing Ltd
562,Henry Holt & Company
563,Squadron/Signal Publications
564,Hardenville SA
565,Crabtree Publishing Company
566,KidHaven Press
567,Harpercollins Uk
568,World Scientific Publishing Company
569,American Mathematical Society(RI)
570,Birkhauser
571,Del Rey
572,Mason Crest Publishers
573,University of Pittsburgh Press
574,Grin Verlag
575,Multnomah Books
576,LWW
577,New Press
578,Spektrum Akademischer Verlag
579,Adams Media
580,Casterman
581,French and European Publications Inc
582,Leathers Publishing
583,Schiffer Publishing
584,Berghahn Books
585,Villard
586,Millbrook Press
587,Gloucester
588,Trafford Publishing
589,Book Jungle
590,Johns Hopkins University Press
591,Southern Methodist University Press
592,Picture Window Books
593,sunnyoutside
594,Bottle of Smoke Press
595,Olaf Norlis Bokhandel
596,Alianza Editorial Sa
597,Council on Foreign Relations Press
598,Terra Foundation For American Art
599,Fhg Guides Ltd
600,University of Wales Press
601,Psychology Press (UK)
602,Wiley-Blackwell
603,Quaritch
604,University of Queensland Pr (Australia)
605,World Health Organization
606,New York Botanical Garden Press
607,McGraw-Hill Science/Engineering/Math
608,Health Communications
609,University of North Carolina Press
610,A. Probsthain
611,Quartich
612,Taylor & Francis Group
613,Medical Manor Books
614,Taylor Trade Publishing
615,Applewood Books
616,University of Illinois Press
617,Praeger
618,Purdue University Press
619,Peeters
620,Penguin Audio
621,Wiley-Liss
622,Peachpit Press
623,Luna
624,Brigham Young University Press
625,Prima Games
626,IHS Press
627,D D C Pub
628,Yinsights
629,Crossroad Publishing Company
630,University of Chicago Press
631,Harlequin Next
632,Chicken House
633,HarperResource
634,Gibbs Smith
635,Troll Communications
636,Children's Press(CT)
637,Sports Publishing LLC
638,Running Press
639,Krieger Publishing Company
640,Bloomsbury USA
641,Palgrave MacMillan
642,Chinese University Press
643,Cold Spring Harbor Laboratory Press
644,B.T. Batsford
645,Kennebec River Press
646,Quarry Press (CN)
647,Roc
648,Bison Books
649,"ICON Group International, Inc."
650,American Girl Publishing Inc
651,Crescent
652,Foyles
653,Jessica Kingsley Publishers
654,Publish America
655,1st World Library - Literary Society
656,Aberdeen University Press
657,River City Publishing
658,Ladybird Books
659,W.H. Freeman & Company
660,University of Pennsylvania Press
661,Sinor Research Institute of Inner Asian Studies
662,University Alabama Press
663,Assouline Publishing
664,Atlantic Monthly Press
665,Bastion Press
666,University Press Group Ltd
667,"Centre Georges Pompidou Service Commercial,France"
668,East European Monographs
669,Carnegie Mellon University Press
670,Insight Guides
671,OUP Oxford
672,Tate Publishing(UK)
673,Books for Libraries
674,Mouton de Gruyter
675,O. Sagner
676,Adelphi
677,Otto Sagner
678,Penny-Farthing Press
679,University of Virginia Press
680,Counterpoint LLC
681,Pluto Press
682,Western Publishing Company
683,Northdown Publishing
684,"Firebird Publications, Inc."
685,Simon & Schuster Children's Publishing
686,Loyola Press
687,Checkmark Books
688,Kendall/Hunt Publishing Company
689,Golden West Books
690,Judson Press
691,Washington State University Press
692,Barron's Educational Series
693,Spoken Language Services
694,Rolling Dreams Press
695,Tarcher
696,Bantam
697,University Press of New England
698,Carcanet Press Ltd.
699,National Science Teachers Association
700,Corwin Publishers
701,Marvel
702,Sound & Vision Publishing
703,Manchester University Press
704,Bradda Books
705,University of Arizona Press
706,University of Utah Press
707,University Press of Mississippi
708,University of South Carolina Press
709,Collins  Brown
710,Taylor & Francis
711,Harlequin Historical
712,Gefen Books
713,Chalice Press
714,Harlequin Superromance
715,Kodansha
716,Back to the Bible Publishing
717,Onyx
718,Lucent Books
719,Love Spell
720,University of British Columbia Press
721,Darton Longman and Todd
722,Upper Room Books
723,Harmony
724,Putnam Publishing Group
725,Harlequin Presents
726,Light & Life Publishing Company
727,Saint Herman Press
728,Prima Lifestyles
729,Twenty-Third Publications
730,Sheed & Ward
731,University of Massachusetts Press
732,Walter de Gruyter
733,John Benjamins Publishing Company
734,Center for the Study of Language and Inf
735,Mathematical Association of America (MAA)
736,Prentice Hall Press
737,Amacom
738,Parker Publishing Company
739,Viz Graphic Novels
740,Vertigo
741,Smithsonian Institution
742,Grey Fox Press
743,Playwrights Canada Press
744,Playwrights Union of Canada
745,Harry N. Abrams
746,Frances Lincoln
747,Timber Press
748,Reed International Books
749,Parkway Publishers
750,Adamant Media Corporation
751,University of Nevada Press
752,Troll Associates
753,Quantuck Lane Press
754,FT Press
755,Phoenix Books
756,Lion Publishing Corporation
757,Silhouette TimeTwist
758,Southeast Asia Program Publications
759,Walker & Company
760,Copper Beach Books
761,Hogrefe & Huber Publishing
762,del Monte
763,Lindisfarne Books
764,Albin Michel
765,Cerf
766,Harlequin SuperRomance
767,St. Paul's Bibliographies
768,Wiley-Interscience
769,Tahrike Tarsile Qur'an
770,CCH Incorporated
771,IEEE Computer Society Press
772,Little Brown & Company
773,AMS Press
774,Sphere
775,Greystone Books
776,Black Cat
777,Signet Classics
778,University of Michigan Press
779,University Press of Southern Denmark
780,Pergamon Title
781,Pergamon
782,American Media International
783,Bantam Books for Young Readers
784,Ivy Books
785,Bantam Books
786,National Academies Press
787,Belknap Press
788,Thomas Dunne Books
789,Bantam Doubleday Dell Publishing Group
790,Headline Review
791,HarperCollins Canada / Thorson Health
792,Hesperides Press
793,Carroll & Graf Publishers
794,University of Toronto Press
795,Humanities Press Intl
796,Laurence King Publishing
797,Abingdon Press
798,Fredonia Books (NL)
799,DeVorss & Company
800,Hebrew University Magnes Press
801,Rizzoli
802,Mercury House
803,NavPress
804,Rubbettino
805,British Film Institute
806,Beit Parah Publishing
807,Yesterday's Classics
808,Fischer
809,"Fischer (Tb.), Frankfurt"
810,Providence Foundations
811,By Light Unseen Media
812,Myriad Books
813,Dial Books for Young Readers
814,WWW.Readhowyouwant.com
815,Christian Large Print
816,Crystal Dreams Publishing
817,John Thompson
818,Starbooks
819,"Sage Publications, Inc"
820,Paul Holberton Publishing
821,Art Books Intl Ltd
822,Autrement
823,Rebellion
824,Ait/Planetlar
825,Packt Publishing
826,Research Press (IL)
827,Pygmalion
828,University of Wisconsin Press
829,Phoenix (an Imprint of the Orion Publishing Group
830,BiblioBazaar
831,Edinburgh University Press
832,Books on Demand
833,Schirmer Trade Books
834,Franklin Watts
835,Book Publishing Company (TN)
836,Spilled Candy Publication
837,Faber and Faber
838,Robert Hale
839,McDougal Publishing Company
840,Charlesbridge
841,Oval Books
842,Search Press Ltd
843,Open University Press
844,Stan Clark Military Books
845,G. K. Hall & Company
846,Chosen Books
847,G K Hall
848,Potomac Books
849,Jones & Bartlett Publishers
850,Seabury Books
851,White Cloud Press
852,Panini Manga
853,Sterling Publishing (NY)
854,Arno Press
855,Panini Comics
856,Candlewick
857,Poudre Canyon Press
858,Conway
859,Thomson
860,Penguin Press
861,Watson-Guptill Pubns
862,Ace Books
863,Hatje Cantz
864,Hay House
865,Tradeselect
866,For Dummies
867,HarperOne
868,Texas Tech University Press
869,Inner Expansion Publishing
870,Trans-Atlantic Publications
871,Hodder Paperback
872,Atheneum Books for Young Readers
873,Chartwell Books
874,Zed Books
875,Genesis Press
876,Chapelle
877,Pendragon Press
878,Haynes Publishing
879,Reader's Digest Association
880,Kensal Press
881,SciTech Publishing
882,Geist & Russell Companies
883,ABRAMS
884,Museum of Modern Art
885,Healing Society
886,Tom Doherty Associates
887,Mike Cortson Company Sports Division
888,Bamboo Ridge Press
889,Historic Scotland
890,Vault.com
891,Walter Foster Publishing
892,La Musardine
893,Nelson Thornes
894,University of Hawaii Press
895,Hotei Publishing
896,Dreams Shared Publications
897,Virgin Books
898,Westminster/John Knox Press
899,Mowbray
900,Doubleday
901,University of South Florida
902,Chatham House Publishers
903,Mohr Siebeck
904,Workman Publishing Company
905,Bookman Publishing
906,Pocket Books
907,Ballantine Books
908,S. Karger AG (Switzerland)
909,Carnot USA Books
910,Polair Publishing
911,Dell
912,Tempus
913,Gill & Company
914,Oak Tree Press (Ireland)
915,McGraw-Hill/Contemporary
916,Thames & Hudson
917,World Bank Publications
918,Blackwell Publishers Inc.
919,University Press of America
920,Oceana Publications
921,"Ampersand, Inc."
922,McGraw-Hill/Glencoe
923,J. Gordon Shillingford Publishing
924,Watson and Dwyer Publishing Company
925,Crown House Publishing
926,University of New South Wales Press
927,University of Luton Press
928,Dumbarton Oaks Research Library & Collection
929,University Of Chicago Press
930,HarperCollins Publishers Ltd
931,Xlibris
932,Parthian Books
933,Actar
934,Winterthur Museum
935,Mexican Museum/San Francisco
936,House of White Birches
937,Martingale and Company
938,Neal-Schuman Publishers
939,Readers Digest
940,Association for Supervision & Curriculum Development
941,August House Publishers
942,Facts on File
943,NTC/Contemporary Publishing Company
944,American Library Association
945,Gospel Light Publications
946,H. W. Wilson
947,Time Life Medical
948,LSU Press
949,Chilton Book Company
950,Broadway
951,Papermac
952,"Urban Ministries, Inc."
953,Scholastic Press
954,Sunset Publishing Corporation
955,"Dorsey Press, the"
956,Jason Aronson
957,Sola Scriptura Ministries International
958,Nelles Verlag
959,GILES
960,Lark Books
961,Research Studies Press Ltd
962,Harlequin Regency Romance
963,Cheng & Tsui
964,China Esperanto Press
965,Looseleaf Law Publications
966,Smithsonian
967,Erotictales Publications
968,AMACOM/American Management Association
969,Pelican
970,"Little, Brown & Company"
971,University of Nebraska Press
972,Duke University Press Books
973,Harlequin Special Releases
974,Ballad
975,North Light Books
976,Northlight
977,Amphoto Books
978,Harlequin
979,Black Dog & Leventhal Publishers
980,American Mathematical Society
981,Arbor House Publishing Company
982,Simpson Pc
983,American Psychological Association (APA)
984,Research Centre of Kabbalah
985,Regnery Publishing
986,Rue Morgue Press
987,Sybex
988,Goldmann Verlag
989,Orion Publishing
990,Fantasist Enterprises
991,New Generation Publishing
992,Holman Reference
993,Holt McDougal
994,Penguin
995,Minstrel
996,Kumarian Press
997,Invisible Cities Press LLC
998,Texas Review Press
999,David R. Godine Publisher
1000,"Aurum Press, Limited"
1001,Findhorn Press
1002,David C Cook
1003,Blackwell Science
1004,Rough Guides
1005,Mobil Travel Guide
1006,Aladdin
1007,Westminster John Knox Press
1008,Sean Kingston Publishing
1009,Albatross Partnership
1010,Kit Pub
1011,Praeger Publishers
1012,Cabi
1013,Practical Action
1014,Nordic Africa Institute
1015,Academic Foundation
1016,Oxfam Publishing
1017,Commonwealth Secretariat
1018,Fao
1019,Earthscan Publications
1020,Intermediate Technology Publications
1021,Random House Disney
1022,Editura Fundatiei Culturale Romane
1023,Gallaudet University Press
1024,Catholic Book Publishing
1025,Bounty Books
1026,Scholastic Paperbacks
1027,Pauline Books & Media
1028,Scholastic Inc.
1029,National Geographic Society
1030,Image Cascade Publishing
1031,Our Sunday Visitor
1032,Hudson Hills Press
1033,Neumann Press
1034,"Harcourt, Brace & Company"
1035,Dorling Kindersley
1036,Ignatius Press
1037,Art Services Intl
1038,Portals Press
1039,Forth Naturalist and Historian
1040,Michigan State University Press
1041,Mariner Books
1042,C W Daniel
1043,Niace
1044,1st Book Library
1045,Brandon Books
1046,Viking Books
1047,Nova Science Publishers
1048,University of Delaware Press
1049,Kaplan Publishing
1050,Silhouette Desire
1051,Hayden Books
1052,Rowohlt Taschenbuch
1053,Random House Puzzles & Games
1054,Harlequin Duets
1055,Classic Books
1056,"Ofic. Wydawnicza ""G&p"""
1057,Perigee Trade
1058,US Naval Institute Press
1059,HarperCollins College
1060,Random House Group Ltd.
1061,Kent State University Press
1062,Hj Kramer
1063,Bloomsbury T&T Clark
1064,D.S. Brewer
1065,Wilhelm Heyne Verlag
1066,Summerjoy Press
1067,Cassell
1068,Emerald Wave
1069,Center Street
1070,Folklore Publishing
1071,Carol Publishing Corporation
1072,Alan Sutton Publishing
1073,Altitude
1074,Minnesota Historical Society Press
1075,University of Calgary Press
1076,"Insel, Frankfurt"
1077,Wydawnictwo Naukowe WSP
1078,University of Regina Press
1079,Canadian Museum of History
1080,British Archaeological Reports
1081,Monthly Review Press
1082,Carlsen
1083,ガンガンコミックス
1084,Kennikat Press
1085,Woods N Water
1086,Cooper Square Press
1087,De Geus
1088,Hohm Press
1089,Fantasy Flight Games
1090,Blue Dolphin Publishing
1091,Midnight Ink
1092,Silver Dolphin Books
1093,Conari Press
1094,McGraw-Hill
1095,Chivers Press
1096,Faber And Faber Ltd.
1097,Crown Publishing Group (NY)
1098,Teach Yourself Books
1099,Vandenhoeck & Ruprecht
1100,Vandenhoeck and Ruprecht
1101,Penguin Classics
1102,Campus Fachbuch
1103,Andre Deutsch
1104,de Gruyter
1105,Nagel & Kimche
1106,Mairdumont
1107,Advantage Media Group
1108,Wyzsza Szkoa Pedagogiczna Im. Powsta Olu
1109,Wydawn. Wyzszej Szkoy Pedagogicznej
1110,Historic England Press
1111,Veloce
1112,"Graffeg, Peter Gill & Associates"
1113,Altamira Press
1114,Sage Publications (CA)
1115,Hibiscun Press
1116,Tate Publishing & Enterprises
1117,Sonderzahl
1118,World Aquaculture Society
1119,Mediaspaul
1120,Solin
1121,Goldmann
1122,Child's World
1123,Actes Sud
1124,Moon Travel
1125,Wydawn. Nauk. Pwn
1126,Avalon Travel Publishing
1127,Dtv
1128,Borgo Press
1129,Oxford Univ. Press
1130,Roxbury Publishing Company
1131,American Correctional Association
1132,Jones Books
1133,Rowohlt Taschenbuch Verlag
1134,Humanities Research Centre (Australia)
1135,Alfred A. Knopf Random House
1136,Vieweg+teubner Verlag
1137,Chambers Harrap Publishers Ltd
1138,Hong Kong University Press
1139,Mellen University Press
1140,Americana Publishing
1141,W. W. Norton  Company
1142,Bastei Lübbe
1143,Derrydale Press
1144,Universe Publishing(NY)
1145,Holloway House Publishing Company
1146,Twayne Publishers
1147,Croom Helm
1148,"Little, Brown Books for Young Readers"
1149,Dafina
1150,Harlequin Kimani Sepia
1151,Oxfam
1152,Wildside Press
1153,Fremantle Arts Centre Press
1154,Tuttle Publishing
1155,Green Integer
1156,Anthem Press
1157,Univ Of Minnesota Press
1158,Editions Didier Millet
1159,Batsford Books
1160,Indra Publishing
1161,Black Swan
1162,Russell House Publishing
1163,Howard University Press
1164,Scribner Book Company
1165,Samuel French
1166,Publicacoes Europa-America
1167,Aegypan
1168,Villegas Editores
1169,Quartet Books
1170,Waking Lion Press
1171,Beekman House
1172,Lewis Press
1173,Namaste Publishing
1174,Gallery Books
1175,St. Martin's Griffin
1176,De Bezige Bij
1177,Urban Soul
1178,Noble Press Inc
1179,Canadian Plains Research Center
1180,Abaton Book Company
1181,NAL Trade
1182,NAL
1183,Strebor Books
1184,Indie Gypsy
1185,Quale Press
1186,Frommer's
1187,Wilson Publishing (CA)
1188,BBC Audiobooks
1189,Steidl
1190,J'ai lu
1191,Golden Books
1192,Story Line Press
1193,Harvard Business Review Press
1194,Pinnacle Books
1195,Harlequin Blaze
1196,Heinle & Heinle Publishers
1197,Sound Library
1198,Prestel Publishing
1199,Twin Palms Publishers
1200,Dolphin Books
1201,Limelight
1202,Mills & Boon
1203,Arabesque
1204,California Classics Books
1205,Blackwell Publishers
1206,Iowa State Press
1207,University of Arkansas Press
1208,University of Oklahoma Press
1209,Boydell Press
1210,Aperture
1211,Sourcebooks Casablanca
1212,Harmattan
1213,Le Reflet
1214,Irwin/McGraw-Hill
1215,Amsterdam University Press
1216,Aphrodisia
1217,Palmer Museum of Art
1218,Listening Library
1219,Rick Steves
